country,WBCode,1996 Estimate,1996 StdErr,1996 NumSrc,1996 Rank,1996 Lower,1996 Upper,1998 Estimate,1998 StdErr,1998 NumSrc,1998 Rank,1998 Lower,1998 Upper,2000 Estimate,2000 StdErr,2000 NumSrc,2000 Rank,2000 Lower,2000 Upper,2002 Estimate,2002 StdErr,2002 NumSrc,2002 Rank,2002 Lower,2002 Upper,2003 Estimate,2003 StdErr,2003 NumSrc,2003 Rank,2003 Lower,2003 Upper,2004 Estimate,2004 StdErr,2004 NumSrc,2004 Rank,2004 Lower,2004 Upper,2005 Estimate,2005 StdErr,2005 NumSrc,2005 Rank,2005 Lower,2005 Upper,2006 Estimate,2006 StdErr,2006 NumSrc,2006 Rank,2006 Lower,2006 Upper,2007 Estimate,2007 StdErr,2007 NumSrc,2007 Rank,2007 Lower,2007 Upper,2008 Estimate,2008 StdErr,2008 NumSrc,2008 Rank,2008 Lower,2008 Upper,2009 Estimate,2009 StdErr,2009 NumSrc,2009 Rank,2009 Lower,2009 Upper,2010 Estimate,2010 StdErr,2010 NumSrc,2010 Rank,2010 Lower,2010 Upper,2011 Estimate,2011 StdErr,2011 NumSrc,2011 Rank,2011 Lower,2011 Upper,2012 Estimate,2012 StdErr,2012 NumSrc,2012 Rank,2012 Lower,2012 Upper,2013 Estimate,2013 StdErr,2013 NumSrc,2013 Rank,2013 Lower,2013 Upper
CENTRAL AFRICAN REPUBLIC,CAF,-1.39,0.56,1.00,4.88,0.00,33.50,-1.00,0.34,3.00,14.15,2.43,39.32,-1.19,0.33,3.00,5.37,1.46,30.10,-1.11,0.34,3.00,8.78,0.49,34.95,-1.23,0.26,4.00,7.32,1.46,23.79,-1.33,0.23,5.00,5.37,0.49,16.02,-1.21,0.23,5.00,9.27,0.97,21.84,-1.00,0.24,4.00,14.63,4.37,33.01,-0.97,0.24,5.00,14.56,3.38,34.30,-0.98,0.25,5.00,15.53,4.35,32.85,-0.91,0.19,8.00,19.14,6.67,30.95,-0.84,0.19,8.00,21.43,10.43,36.02,-0.84,0.19,8.00,20.38,9.91,35.38,-0.89,0.20,8.00,19.62,9.52,34.76,-1.04,0.20,9.00,14.83,2.86,25.71
CHAD,TCD,-0.93,0.56,1.00,20.00,0.97,57.77,-0.94,0.34,3.00,16.59,2.43,41.26,-0.82,0.33,3.00,22.93,4.37,48.54,-0.94,0.34,3.00,19.51,0.49,42.72,-1.26,0.23,5.00,5.37,1.46,17.96,-1.28,0.21,6.00,6.83,1.46,16.02,-1.43,0.21,6.00,3.90,0.00,13.59,-1.27,0.16,9.00,6.34,2.43,14.56,-1.30,0.16,9.00,5.34,1.93,12.56,-1.45,0.16,9.00,3.40,0.97,7.25,-1.36,0.18,9.00,4.31,0.95,13.81,-1.34,0.18,9.00,3.33,0.95,14.69,-1.26,0.18,9.00,5.69,1.42,18.40,-1.25,0.19,9.00,6.22,0.95,18.57,-1.28,0.18,10.00,6.22,0.48,17.14
CHILE,CHL,1.45,0.23,5.00,89.76,84.47,93.20,1.36,0.18,6.00,87.80,83.98,92.72,1.54,0.21,7.00,92.20,85.44,92.72,1.55,0.17,7.00,91.71,85.92,92.23,1.29,0.17,8.00,86.34,83.01,91.75,1.37,0.17,9.00,90.73,83.50,91.75,1.45,0.16,10.00,91.22,83.98,92.72,1.42,0.15,12.00,91.22,84.47,91.75,1.33,0.15,12.00,89.81,83.57,91.79,1.32,0.15,13.00,90.29,82.13,91.79,1.35,0.16,13.00,89.00,82.86,91.43,1.49,0.17,13.00,90.00,84.83,93.36,1.52,0.15,13.00,90.52,86.32,93.40,1.56,0.14,13.00,91.39,87.62,93.81,1.52,0.14,13.00,90.43,84.76,93.33
CHINA,CHN,-0.25,0.18,6.00,43.90,31.07,61.17,-0.25,0.16,7.00,45.85,36.41,61.17,-0.24,0.18,7.00,50.73,33.98,62.14,-0.65,0.16,7.00,33.66,23.79,41.75,-0.41,0.16,8.00,43.41,30.58,53.40,-0.56,0.15,10.00,34.63,22.82,47.57,-0.64,0.14,10.00,31.71,18.93,43.20,-0.51,0.14,11.00,37.07,26.21,47.57,-0.59,0.14,12.00,33.50,21.26,43.48,-0.54,0.14,12.00,35.44,23.19,46.86,-0.54,0.14,12.00,34.93,23.81,47.62,-0.60,0.14,13.00,32.38,21.80,45.02,-0.56,0.14,14.00,34.60,22.64,46.70,-0.48,0.13,14.00,39.23,27.62,50.95,-0.35,0.13,13.00,46.89,35.71,54.29
COLOMBIA,COL,-0.49,0.23,5.00,32.68,22.82,53.40,-0.43,0.18,6.00,39.51,28.16,55.34,-0.41,0.21,7.00,41.46,26.21,58.25,-0.24,0.17,7.00,49.76,36.41,59.22,-0.17,0.17,8.00,51.71,41.75,59.22,-0.10,0.16,11.00,54.63,46.12,60.19,-0.12,0.16,12.00,52.20,45.15,58.74,-0.10,0.14,14.00,55.12,44.66,60.68,-0.19,0.15,15.00,53.40,40.58,58.94,-0.22,0.15,15.00,50.49,40.10,59.42,-0.31,0.15,15.00,48.80,33.33,57.62,-0.41,0.16,15.00,42.86,28.91,54.98,-0.30,0.15,16.00,47.87,34.91,56.13,-0.43,0.14,16.00,42.11,27.62,52.38,-0.44,0.14,15.00,42.58,29.52,52.38
COMOROS,COM,-0.93,0.56,1.00,20.00,0.97,57.77,-1.31,0.34,3.00,2.93,0.49,26.70,-1.12,0.33,3.00,6.34,1.46,32.04,-0.87,0.34,3.00,24.39,0.49,46.12,-0.84,0.30,3.00,20.98,4.37,45.63,-0.84,0.26,4.00,20.00,8.25,43.69,-0.83,0.26,4.00,21.46,8.25,43.20,-0.64,0.26,4.00,29.27,11.65,51.46,-0.65,0.26,4.00,30.58,10.63,52.66,-0.76,0.27,4.00,23.79,7.25,46.86,-0.78,0.28,5.00,23.44,6.19,47.14,-0.75,0.28,5.00,24.76,7.11,49.29,-0.71,0.28,5.00,25.59,8.96,51.42,-0.73,0.28,5.00,26.32,10.00,50.95,-0.73,0.28,6.00,24.88,10.00,50.95
"CONGO, DEM. REP.",ZAR,-2.06,0.47,2.00,0.00,0.00,5.34,-1.90,0.33,4.00,0.00,0.00,2.43,-1.57,0.31,4.00,1.46,0.00,9.71,-1.26,0.31,4.00,2.93,0.49,30.10,-1.41,0.25,5.00,3.41,0.49,13.11,-1.43,0.19,7.00,3.41,0.49,11.17,-1.43,0.19,7.00,4.39,0.00,12.14,-1.48,0.21,7.00,2.93,0.49,10.19,-1.31,0.22,8.00,4.85,0.97,16.43,-1.17,0.22,8.00,7.28,2.42,21.74,-1.36,0.18,10.00,3.83,0.95,13.81,-1.42,0.18,11.00,2.38,0.47,11.37,-1.40,0.17,11.00,2.84,0.94,12.26,-1.30,0.17,11.00,4.31,0.48,16.19,-1.30,0.17,12.00,5.74,0.95,16.19
"CONGO, REP.",COG,-1.11,0.47,2.00,10.24,0.49,42.72,-1.13,0.33,4.00,7.80,2.43,33.50,-0.96,0.31,4.00,12.20,2.91,40.29,-0.87,0.31,4.00,24.88,0.97,43.20,-0.94,0.28,4.00,16.10,3.88,40.29,-0.84,0.25,5.00,20.49,9.22,42.23,-1.02,0.19,7.00,14.63,6.31,29.61,-1.05,0.19,8.00,12.68,4.37,25.73,-1.09,0.19,8.00,9.71,3.38,22.22,-1.13,0.19,8.00,8.74,3.38,21.74,-1.18,0.19,8.00,7.66,1.90,21.43,-1.11,0.18,8.00,11.43,2.84,21.80,-1.08,0.18,8.00,12.80,4.25,23.11,-1.19,0.17,9.00,9.57,1.43,19.52,-1.19,0.17,10.00,10.53,1.90,19.05
COOK ISLANDS,COK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.27,0.37,1.00,48.78,19.90,65.53,-0.21,0.37,1.00,50.73,27.18,68.93,-0.23,0.45,1.00,50.24,14.56,72.33,0.07,0.78,1.00,57.56,9.71,89.81,0.60,0.70,1.00,71.22,36.89,92.72,0.64,0.79,1.00,74.15,29.13,94.17,1.06,0.82,1.00,82.04,48.79,99.03,NA,NA,NA,NA,NA,NA,-0.57,0.59,1.00,31.58,0.95,70.48,-0.24,0.59,1.00,50.95,7.11,74.41,-0.21,0.60,1.00,54.50,8.02,74.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COSTA RICA,CRI,0.57,0.27,4.00,73.66,62.62,83.50,0.78,0.21,4.00,80.00,67.48,83.98,0.76,0.23,6.00,79.02,67.48,84.47,0.59,0.18,6.00,73.66,63.59,82.52,0.70,0.19,7.00,75.61,67.96,83.01,0.30,0.17,10.00,64.88,56.80,73.30,0.39,0.18,10.00,66.83,58.25,72.33,0.32,0.18,11.00,67.32,58.74,73.30,0.40,0.18,12.00,69.90,59.90,73.91,0.44,0.18,11.00,69.90,61.84,74.40,0.71,0.20,10.00,73.21,70.48,81.43,0.65,0.19,9.00,72.38,67.30,80.09,0.58,0.19,9.00,72.04,66.04,78.77,0.58,0.17,10.00,71.29,64.76,78.10,0.59,0.17,10.00,71.77,65.71,78.57
